Gene names, Alpha A53T_day_1_1, Alpha A53T_day_1_2, Alpha A53T_day_10_1, Alpha A53T_day_10_2, Alpha A53T_day_30_1, Alpha A53T_day_30_2, Alpha _day_1_1, Alpha _day_1_2, Alpha _day_10_1, Alpha _day_10_2, Alpha _day_30_1, Alpha _day_30_2
,-0.743496527,-0.14334092,0.280481274,0.056444801,0.41921526,#VALUE!,0.073683154,0.015212085,0.340163443,-0.023973705,0.289598422,0.548633903
Ppox,-2.181280302,-2.018176566,-2.054632017,-1.018907244,-2.048531564,-2.780215029,-1.652901329,-1.467653115,-1.473730828,-2.627181594,-2.17827346,-2.756330919
,0.198368423,-0.120356961,1.044254215,0.993058391,0.956131016,1.034779158,0.288181352,0.02644598,0.895380183,0.816476832,0.825948405,0.87428549
Cyp12e1,#VALUE!,-3.19337073,-0.722205642,0.082566351,-0.809524201,#VALUE!,#VALUE!,#VALUE!,-1.21742369,-1.304184308,-0.939980294,-0.925220574
Pgm,0.0739573,-0.303525369,-0.900233514,-0.799495647,-0.594181863,-0.616480937,0.133826527,0.064331046,-0.746543147,-0.815478483,-0.72549381,-0.667217607
,1.617110375,1.408222729,0.394843362,0.404794153,0.358508792,0.296780417,1.399991351,1.534460082,0.297719672,0.374510926,0.226878404,0.205392513
Gp150,-0.000187563,-0.211197375,0.381837084,0.242328116,0.319849117,0.665483733,0.199499604,0.110363243,0.918615215,1.023823091,0.188021051,-0.014237285
wal,1.580724376,1.247076832,0.47518867,0.394075066,0.426533138,0.415650514,1.421048212,1.492622329,0.462366483,0.45048546,0.293841299,0.227371423
CG31140-RB,-1.58532322,-1.292263194,1.375901314,-1.686034432,1.205455074,-1.277499002,1.012997664,-0.301959369,-1.136442091,-1.64932172,1.072654641,-1.810358853
Mtpalpha,-0.106389271,-0.391739559,-0.829767256,-0.712953307,-0.704135945,-0.808462616,-0.242003903,-0.283140764,-0.61482301,-0.639354798,-0.838254176,-0.837661042
BG:DS00180.2,-0.461640632,-0.601562064,0.116763971,0.072586047,0.396159489,0.316029859,-0.132103536,-0.330120572,0.473111505,0.27464931,0.261711329,0.328147114
CG6812-RA,1.161629747,0.537942091,0.370833848,#VALUE!,-0.049352427,0.074779426,#VALUE!,0.09071796,0.624522058,#VALUE!,-0.183981994,#VALUE!
,-0.145062818,-0.756599012,-1.886459513,-1.774626343,-1.933077302,-1.719613752,-0.210178953,-0.4249007,-1.814818501,-1.896522503,-2.068725418,-2.3159533
RpS2,-0.875433641,-1.37071333,0.00604663,0.05963216,0.357157849,0.199248307,-1.001270131,-1.014820204,-0.010468575,0.062812492,0.221444053,0.21424917
Tpi,0.432959407,0.399991351,0.014355293,-0.107259272,0.306378911,0.043624477,0.357608304,0.624428477,0.185359135,0.171463056,0.170566057,0.007913082
Sec61gamma;SEC61G1,-0.92642652,#VALUE!,-0.209177927,-0.201045362,0.144699025,0.212880566,-0.767069147,-1.076706272,-0.075520008,-0.097116037,0.006908369,-0.002411315
alt,-1.494068432,-1.734083086,-1.197864699,-0.861840855,-1.01283924,-0.524603778,-1.542710406,-1.616923373,-0.851755691,-0.998644504,-1.150913469,-0.898807141
Dhc64C,-2.276275445,-1.838666935,-1.789611136,-2.351810697,-2.112349961,-2.364384894,-2.435573051,-2.481323872,-2.254289378,-1.975907311,-2.251676173,-1.651676919
Elongin-B,1.088480855,0.859890059,1.010923027,0.769433237,1.342611633,1.381837084,0.918691534,1.039348991,1.126246041,1.074162876,1.202887833,1.154907199
eIF6,-0.176674545,-0.199056626,0.274172189,#VALUE!,0.037030731,#VALUE!,-0.006463303,-0.310360896,0.184470737,-0.00689812,-0.102991974,#VALUE!
Indy,0.144829521,#VALUE!,#VALUE!,#VALUE!,-1.069209686,-0.773072286,-0.690195172,#VALUE!,-0.505328388,-0.492768596,-1.209761775,#VALUE!
RpS17,-0.716101927,-1.294703255,0.126708602,0.01649632,0.428356822,0.770363927,-1.012548151,-1.123622541,-0.159444114,0.127104965,0.286881148,0.421263701
RpS24,-0.990824843,-1.426470353,0.207518077,0.19496955,0.6019817,0.401630467,-0.844639337,-0.808083667,0.275364696,0.151988666,0.460270761,0.413918977
,1.348005741,1.229341813,0.569491092,0.697329024,0.599698653,0.560617141,1.277389699,1.041172879,0.624334889,0.605115002,0.457961944,0.442439294
,-0.456266574,-0.732236505,-1.756574638,-1.283702644,-1.423332753,-1.486933788,-0.718212743,-1.036762645,-1.568152431,-1.205796264,-1.566655925,-1.738938626
elav,0.178873958,-0.12669075,0.501311749,0.770279343,0.729444007,0.748890543,-0.148592749,0.130140135,0.607862903,0.585635601,0.584385307,1.135337857
Cyp9b2,-0.020457507,-0.277708858,-1.375272085,-1.399844449,-0.504570891,-0.553997919,0.435841916,0.148738913,-0.514367088,-0.799671427,-0.650453548,-0.906547996
sqh,-0.125258107,-0.398493637,0.898711418,0.656999681,0.617016311,0.925315875,-0.37433674,-0.381385447,0.797262055,0.408385791,0.469990138,0.706110557
Nc73EF,-1.37392538,#VALUE!,#VALUE!,-1.93550339,-1.785626476,#VALUE!,-1.221555901,-1.430742247,#VALUE!,#VALUE!,-1.93318749,-1.956683495
Ppn,-2.029794232,-1.035993287,-1.610785645,-2.059194282,-2.32510552,-2.258218082,-1.975283173,-2.589528635,-1.637199108,-1.912564316,-2.473290133,-1.922319473
cher,-2.754382647,-3.003235262,-1.302475249,-1.180102965,-1.100205652,-1.098412869,-2.724897571,-2.885020043,-1.088162718,-1.03029507,-1.249239159,-1.212634406
Trp1,-0.187066465,-0.349566288,0.017066724,0.177598929,0.143262793,-0.046086672,0.065710164,0.377290365,0.256406854,0.065296567,-0.005912722,-0.134097018
Men,0.425781539,-0.007202571,-1.231887679,-1.251607468,-0.864649008,-0.830562391,0.351854439,0.297250121,-1.239770536,-1.226746306,-1.014004184,-0.819546569
MSBP,0.601506363,0.314290484,0.295723025,0.31254901,0.292899515,0.117695043,0.392427338,0.423094054,0.319155458,0.241718175,0.141563582,0.136978812
,0.424169649,0.236829335,1.304335805,1.105208723,1.426264755,1.240558574,0.38835488,0.619929424,1.119024103,1.150429698,1.274172189,1.931418318
Gnpda1,-1.16805792,-1.5121844,-0.428585301,-0.497873111,-0.291027057,-0.09028065,-1.867804856,-1.844924355,-0.263126741,-0.16533732,-0.44510668,-0.268173773
l(2)tid,-1.134730445,-1.53683794,0.237441347,0.003602237,-0.142974485,0.08827731,-0.784632028,-0.866699524,0.165815488,-0.341738238,-0.297165178,-0.060698186
,0.512580879,0.54181217,1.091801369,1.030477339,1.232783534,1.127171015,0.546264783,0.537146944,1.028003278,1.137569099,1.07819992,1.070045788
cv-d,-1.878692773,-1.796811375,-2.054632017,-1.88565963,-1.864071184,-2.004624027,-1.726185755,-1.83325885,-2.432921898,-1.974886135,-2.018702617,-1.870387262
Acer,-2.704911783,-1.060969055,-1.87853362,-1.786621609,-2.277324144,-1.096036233,-1.119667111,-1.73063166,-2.084242016,-1.047875211,-2.432143073,-1.802990165
Gyk,0.172359498,-0.51673884,-1.392780963,-1.233277641,-1.210329167,-1.043259345,0.008056555,-0.318631699,-1.902497072,-1.550972224,-1.365462489,-1.48430773
Ost48,-0.18329381,-0.724396921,0.101650076,0.461528559,0.630032634,0.605968359,-0.592288319,-0.407038332,0.482228746,0.474773476,0.472695713,0.484189701
,-0.483803266,-0.250182584,-0.103193416,-0.114347549,-0.679734848,-0.354095484,-0.494759446,#VALUE!,-0.764223932,-0.688217905,-0.837635259,-0.575593828
Ugt35b,1.315682151,0.575893165,-0.583030583,-0.885446403,-0.192678054,-0.217910205,0.876015907,0.787850334,-0.469749432,-0.303721238,-0.352602593,-0.502832199
Snx1,-0.269703506,-0.414037577,0.10608026,-0.135078949,-0.422327067,-0.388355457,-0.562218304,-0.49410907,-0.067016645,-0.258149065,-0.584803813,-0.457771671
Cp1,-2.020281922,-1.841197662,-0.427090934,-0.215345264,-1.18150934,-1.516181644,-1.620600837,-2.237523612,-0.405031124,-0.879143802,-1.344794738,-1.377406942
,-0.174670247,-0.576346537,-0.2140394,#VALUE!,-0.814488623,-0.212483952,-0.884194329,-0.121847535,-0.328869704,-0.860478116,-0.978946748,-1.204598759
Dip-B,-1.560217311,-2.70792505,-1.442261533,-1.200249538,-1.025088956,-1.419314209,-1.630795975,-1.868911035,-1.075215994,-1.001501184,-1.190371534,-1.066699309
sws,0.322735778,#VALUE!,#VALUE!,#VALUE!,-0.220597383,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-0.385940398,-0.332280418
CG11899,1.507617067,1.138617903,-0.037517607,0.029841557,0.04851521,-0.025147677,1.498046578,1.408440141,0.113033665,0.102322191,-0.117364775,-0.139664856
,#VALUE!,0.601030869,0.926910307,1.205580189,1.128095396,1.048096653,0.974309037,1.016353684,1.189603197,1.220329955,0.961326981,1.222557291
GstO2,0.93062381,0.249263286,0.426855132,0.407624676,-0.036170795,0.262673687,0.347552277,0.612494048,-0.018614929,0.115965432,-0.203153097,0.161307264
zetaCOP;CG5946-RB,1.59163155,1.286940273,0.119024103,0.196858801,0.286289758,0.172487516,1.529171275,1.495285829,0.308360875,0.188907267,0.117960953,0.180784391
,-1.085680411,0.435735259,-1.002339061,-0.641873847,-0.77016601,-0.890679562,-1.749571959,-1.665157169,-0.821635918,-0.690777237,-0.938873593,-1.036259557
CAH1,-0.818986527,-1.368662856,-2.503077534,-2.333297936,-2.506680589,-2.732452217,-1.413038348,-1.089298034,-2.503650146,-2.408895095,-2.676134225,-2.375122389
NTPase,0.038295698,-0.327438881,-0.421360722,-0.27665988,-0.142926696,-0.091094886,0.035483152,0.108491003,-0.136505524,-0.092032594,-0.312509256,-0.252483698
,0.794852508,0.513288603,0.354790649,0.410666733,0.372060582,0.529770982,1.113167057,0.832768519,0.529371205,0.44794941,0.202135581,0.64099104
grsm,-2.039844189,-2.045371877,-1.806720276,-1.507295644,-2.283281214,-1.950090478,-2.309502447,-3.011704325,-1.975566839,-1.989363364,-2.453636426,-2.053014679
,0.295840551,0.044883678,-0.737302262,-0.511382165,-0.370358949,-0.53105182,0.064882852,0.029841557,-0.612438937,-0.647919486,-0.540778243,-0.433857043
CG34455-RC,0.978049156,0.445832624,0.243181602,0.370164281,0.839314663,0.943058639,0.506297265,0.500802053,0.328721595,0.290188457,0.668391477,0.588516767
Ef1alpha100E,-1.789611136,-1.945860024,-0.685407874,-0.607814487,-0.308841074,-0.44000902,-1.907738428,-1.988790639,-0.650204469,-0.519238552,-0.480377585,-0.505553667
,0.793521378,#VALUE!,0.818768773,0.787516048,0.759837596,0.670840336,0.458487,0.673737315,0.687329488,0.818523382,0.587653021,0.482745045
,-0.079234137,-0.30821573,0.611738957,0.728573603,1.022829402,1.158207748,-0.158622594,0.09423607,0.848637962,0.657457085,0.847756437,1.022758398
,-2.15168253,-2.247559673,0.994072791,1.011638756,1.702746186,1.768163147,-2.105876837,-2.119479028,1.508428653,1.214186989,1.52747075,2.005292186
Fit1,-0.940035652,-1.244924425,-1.119479028,-0.881746603,-0.979487131,-0.956711496,-1.659540276,-1.447721309,-0.841714683,-0.880630542,-1.154762882,-1.328869704
,0.656999681,0.444349024,-0.459238671,-0.45753392,-0.640681248,-0.552579495,0.713695815,0.753005428,-0.477100581,-0.463310465,-0.816214973,-0.722538882
Pdi,-0.462057909,-0.533305021,0.079019633,0.051720116,0.384602458,0.371726122,-0.444144588,-0.549641237,0.299127408,0.299010149,0.208642109,0.238664592
Cpr47Ea,0.886823248,#VALUE!,1.086512047,0.957988867,0.874993639,0.655992884,0.900180912,0.795185099,0.804879608,0.855351901,0.699018519,0.822363055
eIF4G,-2.87313284,-2.534328468,-1.959037452,-1.745212482,-1.421515294,-1.83933792,-2.961957207,-3.411548476,-1.409776458,-2.004739817,-1.597801741,-1.892928169
,-2.178861263,0.035060797,-0.055726245,0.093424959,0.118492626,-1.239395805,0.248170473,0.595790071,-0.046116463,0.040120917,-0.057872142,-0.088668897
,0.245373963,-0.379338524,-1.349235441,-1.242840173,-0.889984275,-0.837454792,0.047119549,0.180529813,-1.140984615,-1.113098732,-1.066729528,-0.90257798
RpL26,-0.195103876,-0.543551284,0.787850334,0.899407681,1.391437798,1.00525625,-0.090695392,-0.181247585,0.914870633,0.904349215,1.214435698,1.127369147
Moe,-0.157640604,-0.298779218,0.22527493,0.352080514,0.347098671,0.294547234,-0.332316746,-0.281105785,0.262553427,0.28557977,0.169027045,0.338110596
OstStt3,-0.918333144,-1.946638386,-0.732428247,#VALUE!,-0.101783907,-0.837557913,-1.162137471,-1.158203959,-0.308501568,-0.307180042,-0.28093049,0.016211033
Gasp,-1.787766862,-1.998730987,1.309292623,1.629799561,2.057138304,2.298277065,-1.880710232,-1.717382279,1.537047519,1.580338474,1.877862016,1.669707122
CG11779-RB,0.270947487,0.360982241,0.280124892,0.314174451,0.497944422,0.499476,0.536351358,0.549718451,0.314986485,0.294311961,0.317998618,0.405012083
Set,-0.662345989,-1.059946038,0.595599137,0.445514838,0.59062597,0.801572569,-0.971940124,-0.924700136,0.49487638,0.576570509,0.410449655,0.909657914
prtp,-1.275122756,-0.904521113,-0.91672535,-0.687241902,-0.106296088,-0.063710705,-1.541030118,-1.630304602,-0.058172522,-0.10181487,-0.287694769,-1.477582618
sqd,0.417271945,0.235604533,0.973868385,0.83090431,1.005471851,0.932665948,0.123401336,0.381283373,0.777872049,0.838830781,0.823260228,1.017636903
Fer2LCH,1.416893774,1.140516919,0.890252115,0.906274914,0.479334051,0.360869904,1.54823932,1.495746321,0.853836004,0.937118365,0.296428039,0.201257457
Inos,0.617392528,0.308011315,-0.642932259,-0.924727522,-0.628429986,-0.628742253,0.331131922,0.553360503,-0.695091834,-0.768076127,-0.811599075,-0.742941092
CG17896,0.738378743,0.362666256,-0.107197112,-0.181378456,-0.311810688,-0.302083875,0.549521321,0.362441834,-0.292263194,-0.320846479,-0.495288092,-0.573810402
,1.067501049,0.584577731,0.457016363,0.475396222,0.272859292,0.353774945,0.663025756,0.568907674,0.207767938,0.32998465,0.089226942,0.227864273
,-0.341756521,-0.156096531,-0.034928698,0.213751646,0.347212086,0.597221268,0.571919463,0.102456577,0.057138304,0.174406419,0.163498732,0.2131295
CG17333,0.617016311,-0.183113626,-1.051668281,-0.471208668,-0.719257435,-0.278496093,-0.065989332,-0.028822512,-1.211731917,-1.14445673,-0.902982583,-0.849518309
Crc,-0.601868568,-0.897839088,0.301704696,0.184216808,0.437227739,0.416839742,-0.60526637,-0.703877425,0.436268465,0.370610693,0.253263199,0.368377246
RpS11,-0.919396908,-1.30315151,-0.071572823,-0.045118805,0.310572795,0.061015775,-0.911017189,-1.148992607,-0.093309472,-0.089912091,0.126179949,0.204641566
Lis-1,-1.542584316,-1.384922757,-0.734563104,-0.616967624,-0.466456586,-0.742313465,-1.336646271,-1.051548662,-0.746906269,-0.996340201,-0.650883875,-0.462455428
Tret1-1,1.54399072,1.20614307,0.153027043,0.140778656,0.232783534,0.218347209,1.491083454,1.326307235,0.468114072,0.329755086,0.048236186,0.171847314
Pgi,-0.096900012,-0.266177131,-0.765572257,-0.818681141,-0.64009656,-0.738649721,-0.171254697,-0.066699309,-0.790933484,-0.865673902,-0.824954514,-0.680104651
dl,-1.169387698,-1.565972325,-0.313244012,0.031254025,-0.813753014,#VALUE!,-2.26867771,-1.482008807,#VALUE!,-0.148113066,-1.000721528,-1.346407958
CG9471-RA,-0.159879227,-0.012489941,-0.40529859,-0.413461014,-0.384677877,-0.403179324,-0.000404011,-0.032536242,-0.507316151,-0.277324144,-0.571836164,-0.289686164
Mal-B2,2.975960285,2.740366343,0.265676925,0.218595202,0.523762665,0.292663973,3.370024748,3.613649515,0.44763209,0.408603179,0.335826224,0.291957116
GstD9,#VALUE!,#VALUE!,-0.648710902,-0.567724699,-1.319333578,-1.013625474,1.184407259,1.034779158,-0.696306912,-1.426431576,-1.507336657,-1.917242919
Top2,-1.459298176,-1.415807142,-1.648597816,-1.71259863,-0.924316775,-1.77724489,-1.626201472,-1.897220949,-1.694134512,-1.29003891,-1.11425385,-1.758477061
eRF1,-0.990423505,-1.326733049,-0.158123466,-0.027410268,0.151209393,0.290542363,-1.121706257,-1.329449682,-0.074289149,-0.026498928,-0.038969428,0.046141782
,0.428356822,0.209765266,-0.526597512,-0.484549935,-0.266940737,-0.246737781,0.781149852,0.952557223,-0.374897874,-0.127383967,-0.45739525,-0.538136213
CG15093,0.602361857,0.175939705,-0.623109545,-0.684758398,-0.478366271,-0.236928423,0.523361219,0.514198023,-0.76510633,-0.726209622,-0.67033675,-0.610807677
Mdr65,-1.320522153,-0.662049192,-0.698037828,-1.344831382,-1.129228917,-1.13590302,-1.349529523,-1.300910388,-1.760968637,-1.415999617,-1.321242977,-1.273099047
RpS20,-1.187904348,-1.388733175,-0.146882609,-0.090971953,0.374622206,0.586404475,-1.390169407,-1.14369151,0.08024833,-0.118867925,0.18142064,0.222433641
CG9231,1.070526721,0.691980751,0.260146127,0.381504883,0.435201856,0.176195095,0.862907586,0.697506959,0.379399163,0.81409919,0.241718175,0.472799672
Anp32a;Mapmodulin,-1.037710112,-0.684781589,0.40958102,-0.033672902,0.526168995,0.7822408,-0.959345993,-0.651631591,0.51318752,0.45817199,0.332622014,0.664209749
,0.277151611,0.097880434,-0.634665802,-0.53704726,-0.699536513,-0.497526816,0.676628488,0.443394475,-0.837429013,-0.701013303,-0.893598075,-0.700778791
CG7639,-0.104325118,3.125618042,-0.15979864,-0.142735555,-0.422230404,-0.769428058,-0.857861076,0.250719083,-0.688543386,-0.434051941,-0.616458819,-0.1607821
tws,-1.263507687,-1.701247854,-1.046563399,-1.214508036,-1.136981363,-1.564179415,-1.610124859,-1.481162758,-0.947723235,-0.883954695,-1.331227316,-1.183408485
CG1440-RC,-1.682742247,-1.66561479,-1.056851317,-1.067848096,-0.991168936,-1.07345398,-1.812992433,-1.795058009,-1.100484042,-1.069391328,-1.185605441,-0.85540538
,-0.606781518,-0.525807996,-0.980113091,-0.890117958,-0.741107259,-0.778630193,-0.166842732,-0.492788897,-0.675281548,-0.693924453,-0.937325637,-0.700708445
Cpr97Ea,-1.188331691,-1.149408577,2.100641316,1.763284085,1.148022983,2.426237914,-0.936994148,-1.142703701,1.939452275,1.990301417,0.951438594,0.856786546
CG15117-RB,-0.521929028,-0.711346136,0.147306699,0.069702167,-0.085573247,-0.111352203,-0.645660687,-0.300235177,-0.442104722,-0.268990588,-0.284668885,-0.375871024
aralar1,1.656221763,1.303634645,-0.559536754,-0.484570121,-0.346664773,-0.241594477,1.596124144,1.615651705,-0.625489074,-0.577960807,-0.546392872,-0.424222983
alpha-Cat,-2.046861433,#VALUE!,-1.373663666,-1.717477165,-1.605244423,#VALUE!,-0.831768755,-1.668317711,-2.179122585,-1.913596656,-1.806215643,-1.517667979
AGBE,1.265016749,1.046630748,0.005328121,0.008343459,0.175811994,0.506805024,1.451857294,1.252355101,-0.359934417,-0.145318089,-0.025177039,0.173127433
RpS6,-1.290497608,-1.451030786,-0.163542591,-0.138933943,0.247806018,0.046421211,-1.282544007,-1.277533976,-0.30224397,-0.169128133,0.046700587,0.087870133
,0.010350188,-0.035815801,-0.627337584,-0.45349813,-0.529551639,-0.471228668,-0.1490246,-0.076508493,-0.816596064,-0.525143475,-0.731014745,-0.538827706
Crk,-0.314068819,-0.416153615,-0.640208982,-0.354814835,-0.26086046,-0.892606725,-0.676756767,-0.709787946,-0.477100581,-0.401329898,-0.462614466,-0.388619849
,-0.452155372,-0.432123608,-1.001732274,-0.941891351,-0.805282537,-1.152548215,-0.403503694,-0.558006674,-1.196276993,-0.816926424,-1.007144575,-1.423216677
,0.011924948,#VALUE!,#VALUE!,-0.287113729,-0.576862907,-0.624665802,#VALUE!,0.332965663,-0.255012283,-0.048904626,-0.779199543,-0.485155626
,-0.043170151,-0.205230652,-0.514058017,-0.665706332,-0.653150874,-0.333570608,-0.314965884,-0.421998438,-0.700896043,-0.784383523,-0.855562002,-0.581345873
Sgt,-0.344391715,-0.546076864,0.043624477,0.186754085,0.343578377,0.343237247,-0.453715458,-0.718378893,0.13093087,0.017066724,0.140647793,0.192067884
26-29-p,-1.370564107,-1.39353882,0.075327251,-0.121753348,0.024886999,0.39462389,-1.538429533,-1.346811545,-0.059404734,-0.163381013,-0.178061257,-0.158075173
,-0.241918596,-0.340495528,-0.391928849,-0.24632701,-0.075824085,0.180911663,-0.330320086,-0.21380514,-0.147202107,-0.157737164,-0.279633969,0.177854025
Spn42Dd,0.944033813,0.635800817,0.551097606,0.59072177,0.384933947,0.67644796,0.475811237,0.541613956,0.343919426,0.326307235,0.179001399,0.249748715
,0.810237431,1.73920004,-0.89204437,-0.579296636,0.027154052,0.336397656,1.119090524,1.136388283,-0.965756107,-1.09028065,-0.179465642,-0.310056803
ras,-1.596579562,-2.537675401,0.492622329,0.40990682,0.749834574,1.029982866,-1.660360895,-1.816037165,0.470719061,0.474773476,0.542406646,0.458382004
iPLA2-VIA,-1.411272174,-0.981479765,-1.621088917,-1.720849669,-2.044836012,-2.449769138,-2.074912045,-1.899964279,-2.028204485,-1.562687023,-2.253050954,-1.88012594
Spn42Da,-0.3980183,-0.34168339,-0.100375773,-0.168803742,-0.295145737,-0.437154365,-0.146179961,-0.233125019,-0.174881951,-0.324111823,-0.50512362,-0.580978954
,0.664664872,0.399663304,-0.494881424,-0.459615574,-0.576970507,-0.494271637,0.660198462,0.728399459,-0.83665585,-0.748044643,-0.7884395,-0.732308405
Aldh,2.200064862,2.262944235,0.21549223,0.128425389,0.368600747,0.27727066,2.235420723,2.431676441,0.261831659,0.326537348,0.155619721,0.017066724
RpS4,-0.875910128,-1.235348114,0.170822399,0.222062625,0.510455622,0.41986245,-0.956179575,-0.859875776,0.117695043,0.029417547,0.297250121,0.217975141
,-0.927194465,-0.922182772,-0.268781995,0.000865357,-0.210996973,-0.01151526,-0.360601114,-0.446580512,-0.294402445,-0.311363065,-0.425617491,-0.370191115
Arc42,-0.600555435,-0.716504878,-0.840448311,-0.504509489,-0.923577725,-0.994556894,-0.05626617,-0.195797717,-0.612483051,-0.575228368,-1.138346304,-1.032801875
mod,-0.898484385,-1.062263911,0.148869044,0.246347277,0.29372361,0.042644337,-0.778234257,-0.910908681,-0.040348529,0.118891252,0.078609835,0.196607044
CG11722,0.59493067,0.360195695,0.318924164,0.558659484,0.670749711,0.582266953,0.715278392,0.501821265,0.603216843,0.387803665,0.45438649,0.595121692
UbcD10,-0.121659167,-0.362287751,0.407950917,-0.44075294,-0.130760281,-0.366875729,-0.1495846,-0.311452579,-0.026616488,0.239520247,-0.347729208,-0.627538167
,-0.802713312,-0.596339613,-0.338961892,0.246590503,0.009633819,0.334453862,-0.738842318,-1.034101228,#VALUE!,#VALUE!,-0.207977612,-0.500585232
BcDNA.GH10614,0.76213617,0.548929769,-0.490942682,-0.564030106,-0.329848552,-0.391550293,0.704252269,0.694479079,-0.681978236,-0.713875874,-0.54837477,-0.304309007
Hex-C,#VALUE!,0.561497221,-1.198361215,-1.334607229,-0.633993989,-0.322270776,1.036327492,0.710789906,-1.048173516,-1.036821844,-0.853579382,-1.149824666
,-0.886726239,-1.158139565,-0.984530976,-1.03354,-0.744922318,-0.736436703,-0.851130956,-0.969875839,-0.574884491,-0.698459176,-0.967363096,-0.709858737
RpL22,-1.06202292,-1.216786435,0.157561176,0.229095661,0.584962501,0.572889668,-0.827384478,-0.823472966,0.040541794,0.133826527,0.362105136,0.730748629
OstDelta,-1.099587199,-1.396384336,-0.422443072,-0.364366322,-0.282982775,-0.170734941,-1.019345829,-1.215713799,-0.335644596,-0.350173038,-0.506721584,-0.435670613
Prosalpha5,-0.883528775,-1.244445806,0.194087052,0.026020971,0.208142647,0.182183769,-1.108767481,-0.997031105,0.066123642,0.335826224,-0.017314841,0.235972083
Dat,-1.00500038,-1.122742619,-0.526452042,-0.904845223,-0.887793637,-1.357344632,-0.508506019,-1.260393807,-0.667630047,#VALUE!,-1.113566912,-0.761482143
,1.773025765,1.642331899,1.013783815,1.09632933,1.140320585,1.150949541,1.825785627,1.769052328,1.068258062,1.078473209,0.913492628,1.190298792
Pdk,-0.597146873,-0.621688148,-0.539855079,-0.614381218,-0.563880813,-0.656489842,-0.356734859,-0.686800594,-0.549810183,-0.585106777,-0.792356987,-1.024942163
yps,-0.02428178,-0.26044565,1.075121841,0.89437155,1.276675317,0.838266047,-0.107026185,0.010923027,0.878215257,0.869476634,1.046840254,1.050745464
Pkc53E,-2.832590686,-2.158429363,-2.665111415,-1.46438495,-1.979487131,-1.641243672,-1.076584559,-2.041149903,-2.126517498,-2.293288224,-2.209761775,-2.445047758
BcDNA.GH04962,-1.448114897,-1.359305042,-0.338943644,-0.166972304,-0.12469174,0.003314389,-1.112817898,-0.989449292,-0.33151775,-0.298175959,-0.355497628,-0.461998291
CDase,#VALUE!,#VALUE!,-1.019287343,-1.219236374,-1.324707959,-1.053583536,-1.339710249,-1.286444943,-1.574111066,-1.146850663,-1.556138778,-1.583246714
RpL10,-2.016015925,-2.407975986,-1.12070201,-0.962041518,-0.615110248,-0.611601032,-2.036348324,-1.964207199,-1.105411146,-1.05334399,-0.847232481,-0.916589179
GstE12,0.440420721,0.504671235,0.018206857,-0.265916903,0.15704371,0.043764442,0.540523296,0.63747114,-0.149936711,-0.041446821,-0.075231193,0.035764654
Rpt1,-2.205031077,-2.524417006,-0.962491262,-1.068725418,-0.858070265,-0.840965063,-2.486165676,-2.482936002,-0.885819571,-0.937049391,-1.090403524,-0.795809191
RpL18A,-0.882092225,-1.157785446,0.066123642,0.023610215,0.614945367,0.368265483,-1.051638376,-1.085802894,0.140909507,0.228849468,0.381504883,0.340619235
,-1.002021188,-1.379695118,-2.103394887,-2.114597442,-2.12481758,-2.240861214,-1.134825483,-1.092493986,-2.242703606,-2.23344724,-2.358601947,-2.016833084
nemy,-1.415653181,-1.44359511,-1.283772894,-1.352252632,-1.205396985,-2.016833084,-1.155855419,-0.764052418,-1.778333231,-0.570828628,-1.4392068,-1.408971714
SpdS,-0.331045825,-0.27896864,-1.074152452,-1.122271453,-0.347765927,-0.275018012,-0.035771433,-0.439343733,-1.294632471,-1.35125847,-0.582598419,-0.264963135
,-1.312043506,-1.063107698,-0.223980259,0.032241931,-0.212768156,-0.525932628,-1.371235735,-1.543551284,-0.521059249,-0.158123466,-0.448252678,-0.202090546
Cyp28a5,0.887915136,-0.317516593,-0.602372253,-0.652946698,-0.701013303,-1.061239975,0.338567037,0.16066208,-0.868805648,-0.620578656,-0.937325637,-1.224317298
,0.970927259,0.919225654,-0.163671866,-0.167150483,-0.227708919,-0.055936192,0.833497337,0.898169648,-0.409144121,-0.285424761,-0.464205813,-0.257114207
Dhpr,0.097071371,0.085016673,-0.345051266,-0.264668462,0.00662118,0.044324169,-0.041951722,0.052972275,-0.323154907,-0.296048822,-0.230651401,-0.18150934
ERp60,-0.943804942,-1.024677974,-0.345564459,-0.306519733,-0.131202627,-0.198659207,-1.265309887,-1.099030819,-0.184113114,-0.1376478,-0.368718739,-0.279686508
eEF1delta,-0.309627605,-0.813271266,0.57065722,0.532765783,0.870423906,1.019915368,-0.387298371,-0.305485262,0.438825113,0.478298822,0.63282657,0.745366427
Nep2,-0.404840107,0.264356271,0.518736548,0.818932344,0.383054501,0.335826224,0.110897723,0.096396804,0.265076777,0.383828687,0.142870845,-0.054032791
RpS18,-0.923878774,-1.182032992,0.199122642,0.265076777,0.582941313,0.30987466,-0.973015854,-1.002050083,0.18599337,0.213627239,0.342668518,0.322158908
scrib,-1.875142533,-1.562260909,-1.380145679,-1.236911421,-0.685988011,-0.839699349,-1.326696861,-1.152355795,-0.914140289,-0.837171246,-0.926755589,-0.364737811
