Gene names,Alpha A30P_day_1_1, Alpha A30P_day_1_2, Alpha A30P_day_10_1, Alpha A30P_day_10_2, Alpha A53T_day_1_1, Alpha A53T_day_1_2, Alpha A53T_day_10_1, Alpha A53T_day_10_2, Alpha A53T_day_30_1, Alpha A53T_day_30_2
PDCD-5,-0.531302002,-0.501871703,0.142348082,0.027295624,-0.607177036,-0.103503383,#VALUE!,0.162983392,#VALUE!,0.374622206
LSm-4-RB,-0.259685473,-0.512822392,0.094776557,0.569782712,-0.713071552,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.381061828
bl,-0.381028435,-0.659471912,0.179128829,0.409037857,0.724301014,#VALUE!,0.266876472,0.661293556,#VALUE!,0.396817103
,0.889707158,0.304160547,0.556208672,0.28853575,1.003170443,#VALUE!,0.688493711,0.201633861,#VALUE!,0.437760394
CREG,1.012997664,0.484189701,0.489029064,1.451646328,-0.079401803,0.094100916,0.318114344,0.12154595,0.205142241,0.47019844
BM-40-SPARC,#VALUE!,#VALUE!,#VALUE!,0.126179949,-0.645141663,#VALUE!,0.458906907,#VALUE!,#VALUE!,0.482228746
Ntf-2,1.641361056,1.450432671,1.522206441,#VALUE!,0.948301812,1.415055533,1.566133213,1.13553487,#VALUE!,0.48357074
CG18812-RA;CG18812,0.248777694,#VALUE!,0.299010149,#VALUE!,#VALUE!,1.856428019,-0.187920782,#VALUE!,0.247806018,0.513793907
CG5706,-1.520107234,-2.163138681,-1.183441251,-1.447327829,-1.544813521,-1.792956777,0.104739216,0.337425664,#VALUE!,0.527070336
Cpr30B,-1.234736845,-1.311685339,0.859492545,0.835196482,-3.693481097,-3.613008107,0.445302942,0.322851124,#VALUE!,0.534260856
NHP2,-0.556138778,-0.439930735,0.010206943,0.133563526,-0.287835662,-0.656740008,1.254775427,0.209515751,#VALUE!,0.541019153
,1.097071371,1.085832524,0.881821213,#VALUE!,1.21896711,1.048724443,0.584577731,0.69937395,#VALUE!,0.586692697
CG33054-RB,0.992768431,0.691623493,-0.061450726,0.393196512,0.225768496,0.618802465,0.092072095,-0.231498053,#VALUE!,0.59645814
,0.552278691,0.499986164,1.238481171,1.435575259,0.44858384,#VALUE!,0.965765818,0.878529177,#VALUE!,0.638398262
Lsd-1,-1.598063771,-0.794757645,-0.962913025,-0.777467438,-1.712929659,-1.816545246,-0.969791068,-0.777764223,#VALUE!,0.644963754
bun,0.263274835,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-0.122711203,0.642100805,0.684280151,#VALUE!,0.665210831
